sky,block,r,g,b
0,0,14,14,14
0,1,21,19,17
0,2,28,23,20
0,3,35,28,23
0,4,44,35,27
0,5,54,42,31
0,6,65,51,36
0,7,78,61,43
0,8,93,74,51
0,9,111,90,63
0,10,132,111,79
0,11,158,138,104
0,12,191,175,144
0,13,233,227,215
0,14,252,252,252
0,15,252,252,252
1,0,19,19,19
1,1,25,23,21
1,2,32,27,24
1,3,39,33,27
1,4,48,39,31
1,5,58,46,35
1,6,69,55,40
1,7,82,65,47
1,8,97,78,55
1,9,115,94,67
1,10,136,115,83
1,11,162,142,108
1,12,195,179,149
1,13,237,231,219
1,14,252,252,252
1,15,252,252,252
2,0,23,23,23
2,1,29,27,26
2,2,36,32,28
2,3,44,37,32
2,4,53,43,35
2,5,62,51,40
2,6,74,59,45
2,7,86,70,51
2,8,102,83,60
2,9,119,99,71
2,10,141,120,88
2,11,167,147,113
2,12,199,184,153
2,13,241,236,223
2,14,252,252,252
2,15,252,252,252
3,0,28,28,28
3,1,35,32,31
3,2,41,37,34
3,3,49,42,37
3,4,58,48,40
3,5,67,56,45
3,6,79,64,50
3,7,92,75,56
3,8,107,88,65
3,9,124,104,76
3,10,146,125,93
3,11,172,152,118
3,12,205,189,158
3,13,247,241,229
3,14,252,252,252
3,15,252,252,252
4,0,34,34,34
4,1,40,38,37
4,2,47,43,39
4,3,55,48,42
4,4,63,54,46
4,5,73,61,50
4,6,84,70,56
4,7,97,81,62
4,8,112,94,71
4,9,130,110,82
4,10,152,130,99
4,11,178,158,124
4,12,210,194,164
4,13,252,247,234
4,14,252,252,252
4,15,252,252,252
5,0,41,41,41
5,1,47,45,43
5,2,54,49,46
5,3,61,55,49
5,4,70,61,53
5,5,80,68,57
5,6,91,77,62
5,7,104,87,69
5,8,119,100,77
5,9,137,116,89
5,10,158,137,105
5,11,184,164,130
5,12,217,201,171
5,13,252,252,241
5,14,252,252,252
5,15,252,252,252
6,0,48,48,48
6,1,54,52,51
6,2,61,57,53
6,3,69,62,56
6,4,77,68,60
6,5,87,75,64
6,6,98,84,70
6,7,111,95,76
6,8,126,108,85
6,9,144,124,96
6,10,166,144,113
6,11,192,172,138
6,12,224,208,178
6,13,252,252,248
6,14,252,252,252
6,15,252,252,252
7,0,57,57,57
7,1,63,61,59
7,2,70,65,62
7,3,77,71,65
7,4,86,77,69
7,5,96,84,73
7,6,107,93,78
7,7,120,103,85
7,8,135,116,93
7,9,153,132,105
7,10,174,153,121
7,11,200,180,146
7,12,233,217,187
7,13,252,252,252
7,14,252,252,252
7,15,252,252,252
8,0,67,67,67
8,1,73,71,69
8,2,80,75,72
8,3,87,81,75
8,4,96,87,79
8,5,106,94,83
8,6,117,103,88
8,7,130,113,95
8,8,145,126,103
8,9,163,142,115
8,10,184,163,131
8,11,210,190,156
8,12,243,227,197
8,13,252,252,252
8,14,252,252,252
8,15,252,252,252
9,0,79,79,79
9,1,85,83,81
9,2,92,87,84
9,3,99,93,87
9,4,108,99,91
9,5,118,106,95
9,6,129,115,100
9,7,142,125,107
9,8,157,138,115
9,9,175,154,127
9,10,196,175,143
9,11,222,202,168
9,12,252,239,209
9,13,252,252,252
9,14,252,252,252
9,15,252,252,252
10,0,93,93,93
10,1,99,97,95
10,2,106,101,98
10,3,114,107,101
10,4,122,113,105
10,5,132,120,109
10,6,143,129,114
10,7,156,139,121
10,8,171,152,129
10,9,189,169,141
10,10,210,189,157
10,11,236,216,182
10,12,252,252,223
10,13,252,252,252
10,14,252,252,252
10,15,252,252,252
11,0,110,110,110
11,1,116,114,113
11,2,123,119,115
11,3,131,124,119
11,4,140,130,122
11,5,149,138,127
11,6,161,146,132
11,7,174,157,138
11,8,189,170,147
11,9,206,186,158
11,10,228,207,175
11,11,252,234,200
11,12,252,252,240
11,13,252,252,252
11,14,252,252,252
11,15,252,252,252
12,0,132,132,132
12,1,138,136,134
12,2,145,141,137
12,3,153,146,140
12,4,161,152,144
12,5,171,159,148
12,6,182,168,154
12,7,195,179,160
12,8,210,192,169
12,9,228,208,180
12,10,250,228,197
12,11,252,252,222
12,12,252,252,252
12,13,252,252,252
12,14,252,252,252
12,15,252,252,252
13,0,160,160,160
13,1,166,164,162
13,2,173,169,165
13,3,181,174,168
13,4,189,180,172
13,5,199,187,176
13,6,210,196,182
13,7,223,207,188
13,8,238,220,197
13,9,252,236,208
13,10,252,252,225
13,11,252,252,250
13,12,252,252,252
13,13,252,252,252
13,14,252,252,252
13,15,252,252,252
14,0,197,197,197
14,1,203,201,200
14,2,210,206,203
14,3,218,211,206
14,4,227,217,209
14,5,236,225,214
14,6,248,233,219
14,7,252,244,225
14,8,252,252,234
14,9,252,252,245
14,10,252,252,252
14,11,252,252,252
14,12,252,252,252
14,13,252,252,252
14,14,252,252,252
14,15,252,252,252
15,0,250,250,250
15,1,252,252,252
15,2,252,252,252
15,3,252,252,252
15,4,252,252,252
15,5,252,252,252
15,6,252,252,252
15,7,252,252,252
15,8,252,252,252
15,9,252,252,252
15,10,252,252,252
15,11,252,252,252
15,12,252,252,252
15,13,252,252,252
15,14,252,252,252
15,15,252,252,252
