sky,block,r,g,b
0,0,77,94,86
0,1,83,97,88
0,2,89,100,90
0,3,95,105,93
0,4,103,110,97
0,5,111,116,100
0,6,119,123,104
0,7,129,130,109
0,8,141,140,116
0,9,154,152,125
0,10,169,167,138
0,11,187,185,156
0,12,209,210,184
0,13,236,244,231
0,14,253,253,253
0,15,253,253,253
1,0,77,94,86
1,1,83,97,88
1,2,89,100,90
1,3,95,105,93
1,4,103,110,97
1,5,111,116,100
1,6,119,123,104
1,7,129,130,109
1,8,141,140,116
1,9,154,152,125
1,10,169,167,138
1,11,187,185,156
1,12,209,210,184
1,13,236,244,231
1,14,253,253,253
1,15,253,253,253
2,0,77,94,86
2,1,83,97,88
2,2,89,100,90
2,3,95,105,93
2,4,103,110,97
2,5,111,116,100
2,6,119,123,104
2,7,129,130,109
2,8,141,140,116
2,9,154,152,125
2,10,169,167,138
2,11,187,185,156
2,12,209,210,184
2,13,236,244,231
2,14,253,253,253
2,15,253,253,253
3,0,77,94,86
3,1,83,97,88
3,2,89,100,90
3,3,95,105,93
3,4,103,110,97
3,5,111,116,100
3,6,119,123,104
3,7,129,130,109
3,8,141,140,116
3,9,154,152,125
3,10,169,167,138
3,11,187,185,156
3,12,209,210,184
3,13,236,244,231
3,14,253,253,253
3,15,253,253,253
4,0,77,94,86
4,1,83,97,88
4,2,89,100,90
4,3,95,105,93
4,4,103,110,97
4,5,111,116,100
4,6,119,123,104
4,7,129,130,109
4,8,141,140,116
4,9,154,152,125
4,10,169,167,138
4,11,187,185,156
4,12,209,210,184
4,13,236,244,231
4,14,253,253,253
4,15,253,253,253
5,0,77,94,86
5,1,83,97,88
5,2,89,100,90
5,3,95,105,93
5,4,103,110,97
5,5,111,116,100
5,6,119,123,104
5,7,129,130,109
5,8,141,140,116
5,9,154,152,125
5,10,169,167,138
5,11,187,185,156
5,12,209,210,184
5,13,236,244,231
5,14,253,253,253
5,15,253,253,253
6,0,77,94,86
6,1,83,97,88
6,2,89,100,90
6,3,95,105,93
6,4,103,110,97
6,5,111,116,100
6,6,119,123,104
6,7,129,130,109
6,8,141,140,116
6,9,154,152,125
6,10,169,167,138
6,11,187,185,156
6,12,209,210,184
6,13,236,244,231
6,14,253,253,253
6,15,253,253,253
7,0,77,94,86
7,1,83,97,88
7,2,89,100,90
7,3,95,105,93
7,4,103,110,97
7,5,111,116,100
7,6,119,123,104
7,7,129,130,109
7,8,141,140,116
7,9,154,152,125
7,10,169,167,138
7,11,187,185,156
7,12,209,210,184
7,13,236,244,231
7,14,253,253,253
7,15,253,253,253
8,0,77,94,86
8,1,83,97,88
8,2,89,100,90
8,3,95,105,93
8,4,103,110,97
8,5,111,116,100
8,6,119,123,104
8,7,129,130,109
8,8,141,140,116
8,9,154,152,125
8,10,169,167,138
8,11,187,185,156
8,12,209,210,184
8,13,236,244,231
8,14,253,253,253
8,15,253,253,253
9,0,77,94,86
9,1,83,97,88
9,2,89,100,90
9,3,95,105,93
9,4,103,110,97
9,5,111,116,100
9,6,119,123,104
9,7,129,130,109
9,8,141,140,116
9,9,154,152,125
9,10,169,167,138
9,11,187,185,156
9,12,209,210,184
9,13,236,244,231
9,14,253,253,253
9,15,253,253,253
10,0,77,94,86
10,1,83,97,88
10,2,89,100,90
10,3,95,105,93
10,4,103,110,97
10,5,111,116,100
10,6,119,123,104
10,7,129,130,109
10,8,141,140,116
10,9,154,152,125
10,10,169,167,138
10,11,187,185,156
10,12,209,210,184
10,13,236,244,231
10,14,253,253,253
10,15,253,253,253
11,0,77,94,86
11,1,83,97,88
11,2,89,100,90
11,3,95,105,93
11,4,103,110,97
11,5,111,116,100
11,6,119,123,104
11,7,129,130,109
11,8,141,140,116
11,9,154,152,125
11,10,169,167,138
11,11,187,185,156
11,12,209,210,184
11,13,236,244,231
11,14,253,253,253
11,15,253,253,253
12,0,77,94,86
12,1,83,97,88
12,2,89,100,90
12,3,95,105,93
12,4,103,110,97
12,5,111,116,100
12,6,119,123,104
12,7,129,130,109
12,8,141,140,116
12,9,154,152,125
12,10,169,167,138
12,11,187,185,156
12,12,209,210,184
12,13,236,244,231
12,14,253,253,253
12,15,253,253,253
13,0,77,94,86
13,1,83,97,88
13,2,89,100,90
13,3,95,105,93
13,4,103,110,97
13,5,111,116,100
13,6,119,123,104
13,7,129,130,109
13,8,141,140,116
13,9,154,152,125
13,10,169,167,138
13,11,187,185,156
13,12,209,210,184
13,13,236,244,231
13,14,253,253,253
13,15,253,253,253
14,0,77,94,86
14,1,83,97,88
14,2,89,100,90
14,3,95,105,93
14,4,103,110,97
14,5,111,116,100
14,6,119,123,104
14,7,129,130,109
14,8,141,140,116
14,9,154,152,125
14,10,169,167,138
14,11,187,185,156
14,12,209,210,184
14,13,236,244,231
14,14,253,253,253
14,15,253,253,253
15,0,77,94,86
15,1,83,97,88
15,2,89,100,90
15,3,95,105,93
15,4,103,110,97
15,5,111,116,100
15,6,119,123,104
15,7,129,130,109
15,8,141,140,116
15,9,154,152,125
15,10,169,167,138
15,11,187,185,156
15,12,209,210,184
15,13,236,244,231
15,14,253,253,253
15,15,253,253,253
