sky,block,r,g,b
0,0,14,14,14
0,1,21,19,17
0,2,28,23,20
0,3,35,28,23
0,4,44,35,27
0,5,54,42,31
0,6,65,51,36
0,7,78,61,43
0,8,93,74,51
0,9,111,90,63
0,10,132,111,79
0,11,158,138,104
0,12,191,175,144
0,13,233,227,215
0,14,252,252,252
0,15,252,252,252
1,0,15,15,15
1,1,21,19,18
1,2,28,24,21
1,3,36,29,24
1,4,44,35,28
1,5,54,42,32
1,6,65,51,37
1,7,78,62,44
1,8,93,75,52
1,9,111,91,64
1,10,132,111,80
1,11,159,138,105
1,12,191,175,145
1,13,233,228,216
1,14,252,252,252
1,15,252,252,252
2,0,15,15,17
2,1,22,20,19
2,2,29,24,22
2,3,36,29,25
2,4,45,36,29
2,5,55,43,33
2,6,66,52,38
2,7,79,62,45
2,8,94,75,53
2,9,112,91,65
2,10,133,112,81
2,11,159,139,106
2,12,192,176,147
2,13,234,228,217
2,14,252,252,252
2,15,252,252,252
3,0,16,16,18
3,1,22,20,20
3,2,29,25,23
3,3,37,30,26
3,4,45,36,30
3,5,55,44,34
3,6,66,52,39
3,7,79,63,46
3,8,94,76,54
3,9,112,92,66
3,10,134,112,82
3,11,160,140,107
3,12,192,176,148
3,13,234,229,218
3,14,252,252,252
3,15,252,252,252
4,0,17,17,19
4,1,23,21,22
4,2,30,25,24
4,3,37,31,28
4,4,46,37,31
4,5,56,44,36
4,6,67,53,41
4,7,80,63,47
4,8,95,76,56
4,9,113,92,67
4,10,134,113,84
4,11,160,140,109
4,12,193,177,149
4,13,235,229,219
4,14,252,252,252
4,15,252,252,252
5,0,18,18,21
5,1,24,22,23
5,2,31,26,26
5,3,38,31,29
5,4,47,38,33
5,5,57,45,37
5,6,68,54,42
5,7,81,64,49
5,8,96,77,57
5,9,114,93,69
5,10,135,114,85
5,11,161,141,110
5,12,194,178,151
5,13,236,230,221
5,14,252,252,252
5,15,252,252,252
6,0,18,18,23
6,1,25,22,25
6,2,31,27,28
6,3,39,32,31
6,4,48,38,35
6,5,58,46,39
6,6,69,54,44
6,7,82,65,51
6,8,97,78,59
6,9,115,94,71
6,10,136,115,87
6,11,162,142,112
6,12,195,179,153
6,13,237,231,223
6,14,252,252,252
6,15,252,252,252
7,0,19,19,25
7,1,26,23,27
7,2,32,28,30
7,3,40,33,33
7,4,49,39,37
7,5,59,47,41
7,6,70,55,46
7,7,83,66,53
7,8,98,79,61
7,9,115,95,73
7,10,137,116,89
7,11,163,143,114
7,12,196,180,155
7,13,238,232,225
7,14,252,252,252
7,15,252,252,252
8,0,21,21,27
8,1,27,25,30
8,2,34,29,32
8,3,41,34,35
8,4,50,41,39
8,5,60,48,43
8,6,71,57,49
8,7,84,67,55
8,8,99,80,64
8,9,117,96,75
8,10,138,117,92
8,11,164,144,117
8,12,197,181,157
8,13,239,233,227
8,14,252,252,252
8,15,252,252,252
9,0,22,22,30
9,1,28,26,32
9,2,35,30,35
9,3,43,36,38
9,4,51,42,42
9,5,61,49,46
9,6,72,58,51
9,7,85,69,58
9,8,100,81,66
9,9,118,98,78
9,10,139,118,95
9,11,165,145,120
9,12,198,182,160
9,13,240,234,230
9,14,252,252,252
9,15,252,252,252
10,0,24,24,33
10,1,30,28,36
10,2,37,32,39
10,3,44,37,42
10,4,53,44,45
10,5,63,51,50
10,6,74,60,55
10,7,87,70,61
10,8,102,83,70
10,9,120,99,81
10,10,141,120,98
10,11,167,147,123
10,12,200,184,163
10,13,242,236,233
10,14,252,252,252
10,15,252,252,252
11,0,26,26,37
11,1,32,30,40
11,2,39,34,43
11,3,46,39,46
11,4,55,46,49
11,5,65,53,54
11,6,76,62,59
11,7,89,72,66
11,8,104,85,74
11,9,122,101,86
11,10,143,122,102
11,11,169,149,127
11,12,202,186,167
11,13,244,238,238
11,14,252,252,252
11,15,252,252,252
12,0,28,28,43
12,1,34,32,45
12,2,41,37,48
12,3,49,42,51
12,4,57,48,55
12,5,67,55,59
12,6,78,64,64
12,7,91,75,71
12,8,106,88,79
12,9,124,104,91
12,10,146,124,107
12,11,172,152,132
12,12,204,188,173
12,13,246,241,243
12,14,252,252,252
12,15,252,252,252
13,0,31,31,49
13,1,37,35,52
13,2,44,40,55
13,3,52,45,58
13,4,61,51,61
13,5,70,59,66
13,6,82,67,71
13,7,95,78,77
13,8,110,91,86
13,9,127,107,98
13,10,149,128,114
13,11,175,155,139
13,12,208,192,179
13,13,249,244,250
13,14,252,252,252
13,15,252,252,252
14,0,36,36,58
14,1,42,40,61
14,2,49,44,64
14,3,56,49,67
14,4,65,56,70
14,5,75,63,75
14,6,86,72,80
14,7,99,82,86
14,8,114,95,95
14,9,132,111,106
14,10,153,132,123
14,11,179,159,148
14,12,212,196,188
14,13,252,248,252
14,14,252,252,252
14,15,252,252,252
15,0,42,42,71
15,1,48,46,73
15,2,55,50,76
15,3,62,55,79
15,4,71,62,83
15,5,81,69,87
15,6,92,78,92
15,7,105,88,99
15,8,120,101,107
15,9,138,117,119
15,10,159,138,136
15,11,185,165,161
15,12,218,202,201
15,13,252,252,252
15,14,252,252,252
15,15,252,252,252
